Date,Mkt-RF,SMB,HML,RF
2018-12-14,-1.89,-0.07,0.5,0.011
2018-12-17,-2.13,-0.26,1.09,0.011
2018-12-18,-0.03,0.03,-0.6,0.011
2018-12-19,-1.58,-0.62,0.04,0.011
2018-12-20,-1.62,-0.29,0.98,0.011
2018-12-21,-2.17,-0.55,0.77,0.011
2018-12-24,-2.55,1.0,-0.48,0.011
2018-12-26,5.06,-0.06,-1.02,0.011
2018-12-27,0.78,-0.66,-0.12,0.011
2018-12-28,-0.03,0.77,0.26,0.011
2018-12-31,0.9,-0.1,-0.46,0.011
2019-01-02,0.23,0.59,1.11,0.01
2019-01-03,-2.45,0.36,1.2,0.01
2019-01-04,3.55,0.41,-0.7,0.01
2019-01-07,0.94,1.0,-0.75,0.01
2019-01-08,1.01,0.53,-0.63,0.01
2019-01-09,0.56,0.46,0.1,0.01
2019-01-10,0.42,0.03,-0.46,0.01
2019-01-11,-0.01,0.12,0.22,0.01
2019-01-14,-0.6,-0.59,0.94,0.01
2019-01-15,1.06,0.0,-0.88,0.01
2019-01-16,0.28,0.04,0.92,0.01
2019-01-17,0.75,0.11,-0.24,0.01
2019-01-18,1.29,-0.36,0.12,0.01
2019-01-22,-1.53,-0.4,0.32,0.01
2019-01-23,0.15,-0.39,-0.13,0.01
2019-01-24,0.23,0.44,-0.01,0.01
2019-01-25,0.9,0.46,-0.35,0.01
2019-01-28,-0.8,-0.16,0.63,0.01
2019-01-29,-0.19,-0.01,0.17,0.01
2019-01-30,1.51,-0.15,-0.94,0.01
2019-01-31,0.92,0.12,-1.08,0.01
2019-02-01,0.14,-0.14,0.43,0.01
2019-02-04,0.72,0.49,-0.47,0.01
2019-02-05,0.43,-0.08,-0.6,0.01
2019-02-06,-0.22,-0.02,0.07,0.01
2019-02-07,-0.93,-0.14,0.4,0.01
2019-02-08,0.09,0.05,-0.69,0.01
2019-02-11,0.14,0.66,0.23,0.01
2019-02-12,1.36,0.02,-0.16,0.01
2019-02-13,0.28,0.07,0.07,0.01
2019-02-14,-0.21,0.52,-0.58,0.01
2019-02-15,1.13,0.25,0.47,0.01
