Date,AAPL,NVDA,MSFT,LLY,DVA,COR,JPM,BAC,WFC,AMZN,NKE,SBUX,GOOGL,META,VZ,BA,MMM,GE,PG,KO,PEP,XOM,CVX,SLB,NEE,DUK,SO,AMT,SPG,PLD,BHP,RIO,ECL
2023-02-06,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-02-07,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-02-08,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-02-09,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-02-10,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-02-13,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-02-14,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-02-15,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-02-16,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
2023-02-17,1.0,-1.0,0.001900422,1.0,0.0009921945,0.00011842611,-1.0,0.00027539933,1.0,-1.0,1.0,-1.0,1.0,-1.6474653e-05,-1.0,-0.0005117636,-0.0004089615,1.0,0.0007797723,1.0,1.0,-1.0,0.0006363479,-1.0,1.0,-1.0,1.0,0.0009465296,-1.0,0.00051448133,1.0,-1.0,1.0
